date,report_time,total_pct,total_ml,total_capacity_ml,bhatsa_pct,bhatsa_ml,upper_vaitarna_pct,upper_vaitarna_ml,middle_vaitarna_pct,middle_vaitarna_ml,modak_sagar_pct,modak_sagar_ml,tansa_pct,tansa_ml,vihar_pct,vihar_ml,tulsi_pct,tulsi_ml,fetched_at
2026-07-27,06:00,88.4,1279534,1447363,86.86,622794,75.76,172022,91.21,176516,100.0,128925,98.93,143534,100.0,27698,100.0,8046,2026-07-28T04:15:03+00:00
2026-07-29,06:00,88.17,1276079,1447363,86.43,619719,78.83,178970,87.76,169834,100.0,128925,98.49,142887,100.0,27698,100.0,8046,2026-07-30T00:02:21+00:00
2026-07-30,06:00,88.49,1280786,1447363,86.64,621257,79.7,180956,88.32,170927,100.0,128925,98.57,143004,100.0,27698,99.66,8019,2026-07-31T03:16:49+00:00
2026-07-31,06:00,88.58,1282029,1447363,87.36,626381,76.64,174007,89.83,173843,100.0,128925,98.69,143181,100.0,27698,99.35,7994,2026-08-01T03:15:04+00:00
2026-08-01,06:00,88.41,1279566,1447363,87.0,623819,74.45,169043,92.37,178764,100.0,128925,98.77,143299,100.0,27698,99.66,8019,2026-08-02T03:43:18+00:00
2026-08-02,06:00,89.08,1289289,1447363,87.14,624844,78.39,177978,91.65,177367,100.0,128925,99.58,144475,100.0,27698,99.46,8002,2026-08-03T00:00:33+00:00
2026-08-03,06:00,90.06,1303500,1447363,88.43,634068,80.14,181949,92.15,178339,100.0,128925,99.58,144475,100.0,27698,100.0,8046,2026-08-04T05:50:08+00:00
2026-08-04,06:00,89.54,1295982,1447363,87.64,628431,80.53,182842,91.05,176212,100.0,128925,99.14,143828,100.0,27698,100.0,8046,2026-08-05T04:12:24+00:00
2026-08-05,06:00,88.93,1287076,1447363,86.64,621257,78.83,178970,92.37,178764,100.0,128925,98.85,143416,100.0,27698,100.0,8046,2026-08-06T02:46:51+00:00
2026-08-06,06:00,88.76,1284608,1447363,86.28,618694,78.83,178970,91.99,178035,100.0,128925,99.42,144240,100.0,27698,100.0,8046,2026-08-07T03:51:18+00:00
2026-08-07,06:00,88.5,1280931,1447363,86.21,618182,79.26,179963,90.39,174937,100.0,128925,98.69,143181,100.0,27698,100.0,8046,2026-08-08T03:35:14+00:00
2026-08-08,06:00,88.4,1279397,1447363,85.93,616132,80.14,181949,89.67,173539,99.99,128910,98.65,143122,100.0,27698,100.0,8047,2026-08-09T03:46:36+00:00
2026-08-09,06:00,88.7,1283826,1447363,86.28,618694,80.14,181949,90.55,175240,99.99,128910,98.77,143299,100.0,27698,99.87,8035,2026-08-10T02:00:21+00:00
2026-08-10,06:00,88.88,1286403,1447363,86.43,619719,80.14,181949,91.18,176455,99.99,128910,99.02,143652,100.0,27698,99.66,8019,2026-08-11T01:55:22+00:00
2026-08-11,06:00,89.05,1288833,1447363,86.43,619719,80.57,182941,91.87,177792,99.99,128910,99.1,143769,100.0,27698,99.46,8002,2026-08-12T02:08:28+00:00
2026-08-12,06:00,89.49,1295274,1447363,87.0,623819,81.01,183934,92.78,179553,100.0,128925,98.77,143299,100.0,27698,100.0,8046,2026-08-13T02:10:04+00:00
2026-08-13,06:00,90.26,1306364,1447363,88.07,631505,81.45,184926,93.72,181376,100.0,128925,99.18,143887,100.0,27698,100.0,8046,2026-08-14T02:08:35+00:00
2026-08-14,06:00,90.96,1316578,1447363,88.94,637733,82.32,186913,94.69,183259,100.0,128925,99.26,144005,100.0,27698,100.0,8046,2026-08-15T03:41:03+00:00
2026-08-15,06:00,91.52,1324585,1447363,89.74,643492,82.32,186913,95.85,185507,100.0,128925,99.26,144005,100.0,27698,100.0,8046,2026-08-16T03:02:14+00:00
2026-08-16,06:00,92.24,1334979,1447363,90.62,649774,83.2,188898,96.95,187633,100.0,128925,99.26,144005,100.0,27698,100.0,8046,2026-08-17T03:02:15+00:00
2026-08-17,06:00,92.16,1333884,1447363,89.89,644538,84.51,191876,97.68,189031,100.0,128925,99.1,143769,100.0,27698,100.0,8046,2026-08-18T03:51:14+00:00
2026-08-18,06:00,93.8,1357667,1447363,92.84,665732,85.82,194854,97.11,187937,100.0,128925,99.58,144475,100.0,27698,100.0,8046,2026-08-19T03:53:19+00:00
2026-08-19,06:00,94.15,1362624,1447363,93.99,673963,86.7,196840,94.79,183442,100.0,128925,99.06,143710,100.0,27698,100.0,8046,2026-08-20T03:53:09+00:00
2026-08-20,06:00,94.29,1364737,1447363,94.38,676706,87.13,197833,94.22,182348,100.0,128925,98.69,143181,100.0,27698,100.0,8046,2026-08-20T09:37:03+00:00
